churchattend,age,polknowl,polinterest,inc.imp,education,strongpartisan,strongideo,married,female,white
0,59.92,2.392,1.515,5.468,3.744,0,0,1,1,1
0.5,59.92,2.392,1.515,5.468,3.744,0,0,1,1,1
1,59.92,2.392,1.515,5.468,3.744,0,0,1,1,1
1.5,59.92,2.392,1.515,5.468,3.744,0,0,1,1,1
2,59.92,2.392,1.515,5.468,3.744,0,0,1,1,1
2.5,59.92,2.392,1.515,5.468,3.744,0,0,1,1,1
3,59.92,2.392,1.515,5.468,3.744,0,0,1,1,1
3.5,59.92,2.392,1.515,5.468,3.744,0,0,1,1,1
4,59.92,2.392,1.515,5.468,3.744,0,0,1,1,1
4.5,59.92,2.392,1.515,5.468,3.744,0,0,1,1,1
5,59.92,2.392,1.515,5.468,3.744,0,0,1,1,1
